AC_Name,Zone,Ward_No,WardName,TotalPop,Area_sq_km,Pop_density,Ventilation_quality,percent_land_cover_in_greenery,green_land,percent_land_cover_in_water_bodies,water_area,percent_land_cover_in_buildings,buildings_area,percent_land_with_informal_growth_signature,planned_to_unplanned_ratio_index,building_footprint_size_index,narrow_street_density_index,major_roads_highways_density_index,area z score,pop density z score,Ventilation z score,Greenery z score,Water z score,Buildings z score,P/U Ratio z score,Footprint z score,Narrow Street z score,Major Roads z score
NARELA,Narela,1,NARELA,54908,7.017,7825,12.2368625,44,3.08748,0,0,54,3.78918,41,48,29,39,32,0.133260695,-1.16347132,-0.426582794,0.86527472,-0.626764184,-0.628400909,0.132643566,-0.580068973,-0.778540761,-0.309383439
NARELA,Narela,2,BANKNER,52874,19.336,2734,5.4751,74,14.30864,0,0,24,4.64064,23,8,19,21,32,1.290388165,-1.44200777,-1.354816529,2.432801386,-0.626764184,-2.074996004,-1.299792352,-1.139549078,-1.492507223,-0.309383439
NARELA,Narela,3,HOLAMBI KALAN,80238,25.115,3195,12.74425,38,9.5437,2,0.5023,58,14.5667,37,64,37,49,51,1.833211418,-1.41678575,-0.356930216,0.551769387,-0.206117081,-0.435521563,0.705617933,-0.132484889,-0.381892727,0.621182998
NARELA,Narela,4,ALIPUR,74449,34.757,2142,5.771355,67,23.28719,3,1.04271,28,9.73196,24,32,41,28,82,2.738887452,-1.474397002,-1.314147564,2.067045164,0.004206471,-1.882116658,-0.440330801,0.091307153,-1.214853599,2.139475605
NARELA,Narela,5,BAKHTAWARPUR,55144,55.798,988,14.429395,82,45.75436,4,2.23192,11,6.13778,71,8,18,22,19,4.715275074,-1.537534119,-0.125598749,2.850808497,0.214530023,-2.701853878,-1.299792352,-1.195497089,-1.452842419,-0.946086791
BURARI,Civil Line,6,BURARI,71180,11.98,5942,18.72005,53,6.3494,6,0.7188,37,4.4326,87,13,23,57,22,0.599436816,-1.26649315,0.463409031,1.33553272,0.635177126,-1.448138129,-1.120737862,-0.915757036,-0.0645743,-0.799155248
BURARI,Civil Line,7,KADIPUR,70169,13.095,5358,6.4136875,67,8.77365,1,0.13095,31,4.05945,39,23,43,28,29,0.70416911,-1.298444689,-1.225970155,2.067045164,-0.416440632,-1.737457148,-0.762628883,0.203203174,-1.214853599,-0.456314982
BURARI,Civil Line,8,MUKUNDPUR,86243,1.423,60606,21.3826025,22,0.31306,6,0.08538,67,0.95341,81,18,37,83,18,-0.392185451,1.724258478,0.82891596,-0.284244835,0.635177126,-0.001543035,-0.941683373,-0.132484889,0.966710589,-0.995063972
BURARI,Civil Line,9,SANT NAGAR,54096,3.272,16533,20.804088,3,0.09816,8,0.26176,82,2.68304,78,21,31,80,21,-0.218508311,-0.687043229,0.749499288,-1.277011724,1.055824229,0.721754513,-0.834250679,-0.468172952,0.847716179,-0.848132429
BURARI,Civil Line,10,JHARODA,83406,11.547,7223,10.4133975,53,6.11991,8,0.92376,33,3.81051,32,44,24,36,21,0.558764992,-1.196407667,-0.676902401,1.33553272,1.055824229,-1.641017475,-0.010600026,-0.859809026,-0.897535172,-0.848132429
TIMARPUR,Civil Line,11,TIMARPUR,76596,4.929,15540,5.926065,49,2.41521,22,1.08438,28,1.38012,29,58,59,32,62,-0.06286579,-0.741371788,-1.292909456,1.126529164,4.000353952,-1.882116658,0.490752546,1.098371343,-1.056194385,1.159931988
TIMARPUR,Civil Line,12,MALKA GANJ,68941,3.167,21769,4.920825,48,1.52016,1,0.03167,49,1.55183,22,78,67,26,38,-0.228370993,-0.400573605,-1.430905678,1.074278275,-0.416440632,-0.869500092,1.206970505,1.545955427,-1.294183206,-0.015520354
TIMARPUR,Civil Line,13,MUKHERJEE NAGAR,79914,3.813,20958,11.77122,36,1.37268,4,0.15252,59,2.24967,39,61,47,47,56,-0.167692014,-0.444944664,-0.490504749,0.447267609,0.214530023,-0.387301727,0.598185239,0.426995216,-0.461222334,0.866068902
ADARSH NAGAR,Civil Line,14,DHIRPUR,59858,6.647,9005,3.533235,58,3.85526,12,0.79764,29,1.92763,17,52,46,19,41,0.09850648,-1.098911702,-1.62138972,1.596787164,1.897118436,-1.833896821,0.275887158,0.371047206,-1.57183683,0.131411189
ADARSH NAGAR,Civil Line,15,ADARSH NAGAR,59139,2.264,26121,11.717,8,0.18112,1,0.02264,89,2.01496,29,61,52,61,52,-0.313190062,-0.162468982,-0.497947902,-1.01575728,-0.416440632,1.059293368,0.598185239,0.706735269,0.094084914,0.670160179
ADARSH NAGAR,Civil Line,16,AZADPUR,69220,1.811,38222,9.523625,11,0.19921,2,0.03622,85,1.53935,38,59,66,49,49,-0.355740491,0.499595365,-0.799047603,-0.859004613,-0.206117081,0.866414022,0.526563443,1.490007416,-0.381892727,0.523228636
BADLI,Civil Line,17,BHALSWA,63537,1.69,37596,16.43147,20,0.338,4,0.0676,58,0.9802,64,32,32,54,32,-0.367106059,0.46534594,0.149239883,-0.388746613,0.214530023,-0.435521563,-0.440330801,-0.412224942,-0.18356871,-0.309383439
BADLI,Civil Line,18,JAHANGIR PURI,80335,2.729,29438,16.938894,18,0.49122,34,0.92786,46,1.25534,69,28,37,62,32,-0.269512468,0.019009196,0.218897472,-0.493248391,6.524236572,-1.014159601,-0.583574393,-0.132484889,0.133749717,-0.309383439
BADLI,Civil Line,19,SARUP NAGAR,78653,4.915,16003,23.95935,14,0.6881,3,0.14745,82,4.0303,86,21,21,84,41,-0.064180814,-0.716040345,1.182643847,-0.702251947,0.004206471,0.721754513,-0.834250679,-1.027653057,1.006375392,0.131411189
BADLI,Civil Line,20,SAMAYPUR BADLI,67788,4.737,14310,16.0263,22,1.04214,2,0.09474,75,3.55275,71,31,49,69,43,-0.080900409,-0.808666982,0.093619405,-0.284244835,-0.206117081,0.384215657,-0.476141699,0.538891237,0.411403341,0.229365551
RITHALA,Rohini,21,ROHINI-A,66482,2.122,31330,9.367375,33,0.70026,2,0.04244,64,1.35808,18,78,56,46,54,-0.326528166,0.12252343,-0.820497118,0.290514942,-0.206117081,-0.146202544,1.206970505,0.930527311,-0.500887137,0.76811454
RITHALA,Rohini,22,ROHINI-B,60621,1.021,59374,8.343845,40,0.4084,2,0.02042,58,0.59218,23,77,58,41,48,-0.429945435,1.656853861,-0.961004134,0.656271164,-0.206117081,-0.435521563,1.171159607,1.042423332,-0.699211155,0.474251455
RITHALA,Rohini,23,RITHALA,71698,4.047,17716,6.5101175,62,2.50914,3,0.12141,33,1.33551,18,79,59,31,72,-0.145712322,-0.622319477,-1.212732545,1.80579072,0.004206471,-1.641017475,1.242781402,1.098371343,-1.095859189,1.649703796
RITHALA,Rohini,24,VIJAY VIHAR,68107,1.631,41758,13.8572875,23,0.37513,1,0.01631,74,1.20694,51,48,46,57,39,-0.372647947,0.69305537,-0.204135888,-0.231993947,-0.416440632,0.335995821,0.132643566,0.371047206,-0.0645743,0.033456827
RITHALA,Rohini,25,BUDH VIHAR,51524,1.092,47183,23.09985,7,0.07644,0,0,91,0.99372,84,14,24,86,16,-0.423276383,0.989865475,1.064654359,-1.068008169,-0.626764184,1.155733041,-1.084926964,-0.859809026,1.085704999,-1.093018334
BAWANA,Narela,26,POOTH KALAN,70203,4.509,15570,15.616735,27,1.21743,6,0.27054,67,3.02103,59,42,42,61,32,-0.102316519,-0.739730442,0.037395595,-0.022990391,0.635177126,-0.001543035,-0.082221822,0.147255164,0.094084914,-0.309383439
BAWANA,Narela,27,BEGUMPUR,78987,7.044,11213,17.98931,31,2.18364,4,0.28176,63,4.43772,63,34,36,69,31,0.135796813,-0.978108622,0.363095315,0.186013164,0.214530023,-0.194422381,-0.368709005,-0.188432899,0.411403341,-0.35836062
BAWANA,Narela,28,SHAHBAAD DAIRY,54537,2.991,18234,22.715855,21,0.62811,9,0.26919,68,2.03388,82,19,24,86,27,-0.244902727,-0.593978899,1.011940719,-0.336495724,1.266147781,0.046676802,-0.905872475,-0.859809026,1.085704999,-0.554269344
BAWANA,Narela,29,POOTH KHURD,57630,30.906,1865,9.44094,53,16.38018,3,0.92718,42,12.98052,38,31,36,42,42,2.377161834,-1.489552099,-0.810398343,1.33553272,0.004206471,-1.207038947,-0.476141699,-0.188432899,-0.659546351,0.18038837
